155073,[['Ngữ văn', '6.75'], ['Toán', '8.5'], ['Tiếng Anh', '10'], ['KHTN', '9'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.75'], ['Tổng Toán, Văn, Anh', '25.25']]
024114,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '7.6'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.73'], ['Tổng Toán, Văn, Anh', '27.63']]
151165,[['Ngữ văn', '7.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '9'], ['LS&&ĐL', '7.1'], ['Tổng các môn', '42.73'], ['Tổng Toán, Văn, Anh', '26.63']]
004066,[['Ngữ văn', '8.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '8.5'], ['LS&&ĐL', '6.85'], ['Tổng các môn', '42.73'], ['Tổng Toán, Văn, Anh', '27.38']]
170033,[['Ngữ văn', '7'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7.75'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.69'], ['Tổng Toán, Văn, Anh', '26.44']]
183088,[['Ngữ văn', '7.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7'], ['LS&&ĐL', '9'], ['Tổng các môn', '42.69'], ['Tổng Toán, Văn, Anh', '26.69']]
024075,[['Ngữ văn', '6.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.69'], ['KHTN', '8.25'], ['LS&&ĐL', '9'], ['Tổng các môn', '42.69'], ['Tổng Toán, Văn, Anh', '25.44']]
024131,[['Ngữ văn', '6.5'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '8.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.69'], ['Tổng Toán, Văn, Anh', '26.19']]
089035,[['Ngữ văn', '7.75'], ['Toán', '9.25'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '8.25'], ['Tổng các môn', '42.69'], ['Tổng Toán, Văn, Anh', '25.44']]
149025,[['Ngữ văn', '6.75'], ['Toán', '10'], ['Tiếng Anh', '8.44'], ['KHTN', '10'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.69'], ['Tổng Toán, Văn, Anh', '25.19']]
151172,[['Ngữ văn', '7.75'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '7.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.69'], ['Tổng Toán, Văn, Anh', '26.69']]
218003,[['Ngữ văn', '8'], ['Toán', '9.25'], ['Tiếng Anh', '8.13'], ['KHTN', '8'], ['LS&&ĐL', '9.25'], ['Tổng các môn', '42.63'], ['Tổng Toán, Văn, Anh', '25.38']]
079078,[['Ngữ văn', '6.5'], ['Toán', '8.75'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.63'], ['Tổng Toán, Văn, Anh', '24.63']]
181132,[['Ngữ văn', '8'], ['Toán', '9.25'], ['Tiếng Anh', '9.38'], ['KHTN', '8'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.63'], ['Tổng Toán, Văn, Anh', '26.63']]
024082,[['Ngữ văn', '5.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.63'], ['Tổng Toán, Văn, Anh', '24.63']]
028009,[['Ngữ văn', '7.5'], ['Toán', '7.85'], ['Tiếng Anh', '8.75'], ['KHTN', '9.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '42.60'], ['Tổng Toán, Văn, Anh', '24.10']]
069072,[['Ngữ văn', '4.5'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '10'], ['LS&&ĐL', '9'], ['Tổng các môn', '42.56'], ['Tổng Toán, Văn, Anh', '23.56']]
228008,[['Ngữ văn', '8'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '7.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.56'], ['Tổng Toán, Văn, Anh', '27.06']]
138016,[['Ngữ văn', '9'], ['Toán', '9.5'], ['Tiếng Anh', '6.56'], ['KHTN', '8.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '42.56'], ['Tổng Toán, Văn, Anh', '25.06']]
074053,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '9.5'], ['LS&&ĐL', '7'], ['Tổng các môn', '42.50'], ['Tổng Toán, Văn, Anh', '26.00']]
228022,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '10'], ['LS&&ĐL', '6.25'], ['Tổng các môn', '42.50'], ['Tổng Toán, Văn, Anh', '26.25']]
228047,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '7.5'], ['KHTN', '8'], ['LS&&ĐL', '9.5'], ['Tổng các môn', '42.50'], ['Tổng Toán, Văn, Anh', '25.00']]
185031,[['Ngữ văn', '8'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '7.25'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.50'], ['Tổng Toán, Văn, Anh', '26.75']]
159022,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '9'], ['LS&&ĐL', '7'], ['Tổng các môn', '42.50'], ['Tổng Toán, Văn, Anh', '26.50']]
024088,[['Ngữ văn', '7.75'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '7.5'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.44'], ['Tổng Toán, Văn, Anh', '27.44']]
024360,[['Ngữ văn', '8'], ['Toán', '8.25'], ['Tiếng Anh', '9.69'], ['KHTN', '8.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.44'], ['Tổng Toán, Văn, Anh', '25.94']]
053087,[['Ngữ văn', '8.25'], ['Toán', '9.25'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.44'], ['Tổng Toán, Văn, Anh', '25.94']]
089031,[['Ngữ văn', '7.5'], ['Toán', '8.75'], ['Tiếng Anh', '9.06'], ['KHTN', '9.5'], ['LS&&ĐL', '7.6'], ['Tổng các môn', '42.41'], ['Tổng Toán, Văn, Anh', '25.31']]
024071,[['Ngữ văn', '8.25'], ['Toán', '8.5'], ['Tiếng Anh', '9.38'], ['KHTN', '8.25'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '26.13']]
024076,[['Ngữ văn', '6.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '9.25'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '25.63']]
024103,[['Ngữ văn', '7.75'], ['Toán', '9.25'], ['Tiếng Anh', '9.38'], ['KHTN', '8.5'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '26.38']]
024146,[['Ngữ văn', '7'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '7'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '25.88']]
024245,[['Ngữ văn', '7'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '7'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '25.88']]
151086,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '8.25'], ['LS&&ĐL', '7'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '27.13']]
151123,[['Ngữ văn', '6.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '8.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '25.88']]
151184,[['Ngữ văn', '6.75'], ['Toán', '9'], ['Tiếng Anh', '8.13'], ['KHTN', '10'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '23.88']]
103102,[['Ngữ văn', '7'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '8.5'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '26.38']]
024070,[['Ngữ văn', '7.75'], ['Toán', '7.6'], ['Tiếng Anh', '10'], ['KHTN', '8'], ['LS&&ĐL', '9'], ['Tổng các môn', '42.35'], ['Tổng Toán, Văn, Anh', '25.35']]
