079061,[['Ngữ văn', '8'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '8.5'], ['LS&&ĐL', '9.5'], ['Tổng các môn', '44.75'], ['Tổng Toán, Văn, Anh', '26.75']]
024072,[['Ngữ văn', '8'], ['Toán', '8.75'], ['Tiếng Anh', '10'], ['KHTN', '7.75'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.00'], ['Tổng Toán, Văn, Anh', '26.75']]
185031,[['Ngữ văn', '8'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '7.25'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.50'], ['Tổng Toán, Văn, Anh', '26.75']]
024351,[['Ngữ văn', '8.25'], ['Toán', '9.75'], ['Tiếng Anh', '8.75'], ['KHTN', '9.5'], ['LS&&ĐL', '6'], ['Tổng các môn', '42.25'], ['Tổng Toán, Văn, Anh', '26.75']]
074061,[['Ngữ văn', '7.5'], ['Toán', '9.25'], ['Tiếng Anh', '10'], ['KHTN', '8.5'], ['LS&&ĐL', '6.25'], ['Tổng các môn', '41.50'], ['Tổng Toán, Văn, Anh', '26.75']]
028088,[['Ngữ văn', '8.75'], ['Toán', '9.25'], ['Tiếng Anh', '8.75'], ['KHTN', '6.5'], ['LS&&ĐL', '7.75'], ['Tổng các môn', '41.00'], ['Tổng Toán, Văn, Anh', '26.75']]
024339,[['Ngữ văn', '7.75'], ['Toán', '9'], ['Tiếng Anh', '10'], ['KHTN', '5.75'], ['LS&&ĐL', '8'], ['Tổng các môn', '40.50'], ['Tổng Toán, Văn, Anh', '26.75']]
103123,[['Ngữ văn', '8.25'], ['Toán', '8.5'], ['Tiếng Anh', '10'], ['KHTN', '5.1'], ['LS&&ĐL', '8'], ['Tổng các môn', '39.85'], ['Tổng Toán, Văn, Anh', '26.75']]
078009,[['Ngữ văn', '8.25'], ['Toán', '9.75'], ['Tiếng Anh', '8.75'], ['KHTN', '6.75'], ['LS&&ĐL', '6.25'], ['Tổng các môn', '39.75'], ['Tổng Toán, Văn, Anh', '26.75']]
103052,[['Ngữ văn', '8.75'], ['Toán', '8'], ['Tiếng Anh', '10'], ['KHTN', '7.5'], ['LS&&ĐL', '4.75'], ['Tổng các môn', '39.00'], ['Tổng Toán, Văn, Anh', '26.75']]
049044,[['Ngữ văn', '8.5'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '6'], ['LS&&ĐL', '6'], ['Tổng các môn', '38.75'], ['Tổng Toán, Văn, Anh', '26.75']]
041063,[['Ngữ văn', '8.75'], ['Toán', '9.25'], ['Tiếng Anh', '8.75'], ['KHTN', '6.25'], ['LS&&ĐL', '5.6'], ['Tổng các môn', '38.60'], ['Tổng Toán, Văn, Anh', '26.75']]
006174,[['Ngữ văn', '8'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '7'], ['LS&&ĐL', '3.5'], ['Tổng các môn', '37.25'], ['Tổng Toán, Văn, Anh', '26.75']]
006054,[['Ngữ văn', '8.5'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '4.25'], ['LS&&ĐL', '4'], ['Tổng các môn', '35.00'], ['Tổng Toán, Văn, Anh', '26.75']]
016131,[['Ngữ văn', '7'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '8.5'], ['LS&&ĐL', '9.5'], ['Tổng các môn', '44.69'], ['Tổng Toán, Văn, Anh', '26.69']]
