010031, [['Ngữ văn', ''], ['Toán', ''], ['Tiếng Anh', ''], ['KHTN', ''], ['LS&&ĐL', '']]
110031, [['Ngữ văn', '3.75'], ['Toán', '8.75'], ['Tiếng Anh', '6.56'], ['KHTN', '6.1'], ['LS&&ĐL', '5.1']]
060031, [['Ngữ văn', '5'], ['Toán', '2.6'], ['Tiếng Anh', '3.75'], ['KHTN', '3.1'], ['LS&&ĐL', '5']]
160031, [['Ngữ văn', '5.75'], ['Toán', '8.25'], ['Tiếng Anh', '6.56'], ['KHTN', '5.25'], ['LS&&ĐL', '5.25']]
210031, [['Ngữ văn', '4.5'], ['Toán', '5.25'], ['Tiếng Anh', '3.44'], ['KHTN', '2.25'], ['LS&&ĐL', '1.85']]
110032, [['Ngữ văn', '2.5'], ['Toán', '4.2'], ['Tiếng Anh', '3.44'], ['KHTN', '3.1'], ['LS&&ĐL', '5.75']]
060032, [['Ngữ văn', '4.5'], ['Toán', '6.25'], ['Tiếng Anh', '6.25'], ['KHTN', '6.35'], ['LS&&ĐL', '2.75']]
010032, [['Ngữ văn', '1.75'], ['Toán', '5.5'], ['Tiếng Anh', '3.44'], ['KHTN', '4.1'], ['LS&&ĐL', '2.35']]
210032, [['Ngữ văn', '4.25'], ['Toán', '5.1'], ['Tiếng Anh', '3.44'], ['KHTN', '4.5'], ['LS&&ĐL', '4']]
160032, [['Ngữ văn', '6.75'], ['Toán', '9.75'], ['Tiếng Anh', '6.25'], ['KHTN', '6.5'], ['LS&&ĐL', '6']]
110033, [['Ngữ văn', '4'], ['Toán', '5.6'], ['Tiếng Anh', '3.44'], ['KHTN', '5.6'], ['LS&&ĐL', '5.5']]
060033, [['Ngữ văn', '5.25'], ['Toán', '7'], ['Tiếng Anh', '7.5'], ['KHTN', '8.5'], ['LS&&ĐL', '5.25']]
010033, [['Ngữ văn', '5'], ['Toán', '5.35'], ['Tiếng Anh', '6.56'], ['KHTN', '5.25'], ['LS&&ĐL', '4.85']]
210033, [['Ngữ văn', '5'], ['Toán', '8'], ['Tiếng Anh', '5.63'], ['KHTN', '5.1'], ['LS&&ĐL', '4']]
160033, [['Ngữ văn', '5'], ['Toán', '7.1'], ['Tiếng Anh', '5.94'], ['KHTN', '5.5'], ['LS&&ĐL', '3.35']]
110034, [['Ngữ văn', '5.75'], ['Toán', '6.5'], ['Tiếng Anh', '4.06'], ['KHTN', '5.25'], ['LS&&ĐL', '5.5']]
060034, [['Ngữ văn', '3.25'], ['Toán', '2.25'], ['Tiếng Anh', '3.75'], ['KHTN', '2.35'], ['LS&&ĐL', '3.25']]
010034, [['Ngữ văn', '2'], ['Toán', '4.5'], ['Tiếng Anh', '7.5'], ['KHTN', '6'], ['LS&&ĐL', '2.75']]
210034, [['Ngữ văn', '3.5'], ['Toán', '5'], ['Tiếng Anh', '4.38'], ['KHTN', '3'], ['LS&&ĐL', '3.1']]
160034, [['Ngữ văn', '7'], ['Toán', '4.25'], ['Tiếng Anh', '4.06'], ['KHTN', '4.6'], ['LS&&ĐL', '5.35']]
060035, [['Ngữ văn', '5.5'], ['Toán', '6.75'], ['Tiếng Anh', '7.81'], ['KHTN', '7.6'], ['LS&&ĐL', '7.5']]
210035, [['Ngữ văn', '4.5'], ['Toán', '5.5'], ['Tiếng Anh', '3.13'], ['KHTN', '3.5'], ['LS&&ĐL', '4.75']]
160035, [['Ngữ văn', '4'], ['Toán', '3.75'], ['Tiếng Anh', '4.69'], ['KHTN', '4.85'], ['LS&&ĐL', '4.25']]
110035, [['Ngữ văn', '3.5'], ['Toán', '5.35'], ['Tiếng Anh', '2.5'], ['KHTN', '4'], ['LS&&ĐL', '2.5']]
010035, [['Ngữ văn', '3.5'], ['Toán', '5.5'], ['Tiếng Anh', '6.25'], ['KHTN', '6'], ['LS&&ĐL', '3.75']]
160036, [['Ngữ văn', '2.75'], ['Toán', '3.75'], ['Tiếng Anh', '3.75'], ['KHTN', '5.35'], ['LS&&ĐL', '5.1']]
060036, [['Ngữ văn', '2.25'], ['Toán', '8'], ['Tiếng Anh', '7.5'], ['KHTN', '5.6'], ['LS&&ĐL', '6.5']]
210036, [['Ngữ văn', '3.5'], ['Toán', '3.35'], ['Tiếng Anh', '3.44'], ['KHTN', '3.75'], ['LS&&ĐL', '4.75']]
