002055,[['Ngữ văn', '7.75'], ['Toán', '6.5'], ['Tiếng Anh', '7.81'], ['KHTN', '7.5'], ['LS&&ĐL', '7.25']]
002056,[['Ngữ văn', '5.5'], ['Toán', '6.25'], ['Tiếng Anh', '5.31'], ['KHTN', '7.5'], ['LS&&ĐL', '8']]
002057,[['Ngữ văn', '4.75'], ['Toán', '8.5'], ['Tiếng Anh', '4.06'], ['KHTN', '7.5'], ['LS&&ĐL', '8.5']]
002058,[['Ngữ văn', '5.5'], ['Toán', '8.25'], ['Tiếng Anh', '5.63'], ['KHTN', '7.5'], ['LS&&ĐL', '8.5']]
002059,[['Ngữ văn', '4.5'], ['Toán', '8.25'], ['Tiếng Anh', '5.63'], ['KHTN', '7.25'], ['LS&&ĐL', '8']]
002060,[['Ngữ văn', '3.75'], ['Toán', '4.85'], ['Tiếng Anh', '5.63'], ['KHTN', '5.6'], ['LS&&ĐL', '3.5']]
002061,[['Ngữ văn', '5'], ['Toán', '5.35'], ['Tiếng Anh', '9.38'], ['KHTN', '4.6'], ['LS&&ĐL', '4']]
002062,[['Ngữ văn', '5.5'], ['Toán', '7.75'], ['Tiếng Anh', '9.38'], ['KHTN', '7'], ['LS&&ĐL', '3.85']]
002063,[['Ngữ văn', '6.25'], ['Toán', '8.75'], ['Tiếng Anh', '8.44'], ['KHTN', '6.5'], ['LS&&ĐL', '5.5']]
002064,[['Ngữ văn', '6.5'], ['Toán', '7'], ['Tiếng Anh', '4.38'], ['KHTN', '6.5'], ['LS&&ĐL', '6']]
002065,[['Ngữ văn', '3.25'], ['Toán', '5.75'], ['Tiếng Anh', '6.56'], ['KHTN', '7'], ['LS&&ĐL', '5']]
002066,[['Ngữ văn', '6.5'], ['Toán', '8.5'], ['Tiếng Anh', '4.69'], ['KHTN', '4.25'], ['LS&&ĐL', '8']]
002067,[['Ngữ văn', '5.75'], ['Toán', '7'], ['Tiếng Anh', '5.31'], ['KHTN', '5'], ['LS&&ĐL', '3.75']]
002068,[['Ngữ văn', '8.75'], ['Toán', '9.75'], ['Tiếng Anh', '8.75'], ['KHTN', '5.35'], ['LS&&ĐL', '7.1']]
002069,[['Ngữ văn', '6'], ['Toán', '4.25'], ['Tiếng Anh', '8.75'], ['KHTN', '8.75'], ['LS&&ĐL', '7.75']]
002070,[['Ngữ văn', '4'], ['Toán', '6.5'], ['Tiếng Anh', '7.19'], ['KHTN', '7.75'], ['LS&&ĐL', '7.1']]
002071,[['Ngữ văn', '5.5'], ['Toán', '5.85'], ['Tiếng Anh', '5.63'], ['KHTN', '6.75'], ['LS&&ĐL', '7.1']]
002072,[['Ngữ văn', '6'], ['Toán', '8.75'], ['Tiếng Anh', '9.38'], ['KHTN', '9'], ['LS&&ĐL', '9']]
002073,[['Ngữ văn', '3.25'], ['Toán', '8.75'], ['Tiếng Anh', '5'], ['KHTN', '7'], ['LS&&ĐL', '8.5']]
002074,[['Ngữ văn', '4'], ['Toán', '8'], ['Tiếng Anh', '5.63'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5']]
002075,[['Ngữ văn', '7.5'], ['Toán', '7.85'], ['Tiếng Anh', '8.13'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5']]
002076,[['Ngữ văn', '6.5'], ['Toán', '8.5'], ['Tiếng Anh', '6.88'], ['KHTN', '9'], ['LS&&ĐL', '9']]
002077,[['Ngữ văn', '4.75'], ['Toán', '7.75'], ['Tiếng Anh', '6.88'], ['KHTN', '9'], ['LS&&ĐL', '8.5']]
003001,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '7.81'], ['KHTN', '6.5'], ['LS&&ĐL', '5.25']]
003002,[['Ngữ văn', '5.25'], ['Toán', '7.25'], ['Tiếng Anh', '6.25'], ['KHTN', '3.6'], ['LS&&ĐL', '5']]
003003,[['Ngữ văn', '7.25'], ['Toán', '8'], ['Tiếng Anh', '9.06'], ['KHTN', '6.5'], ['LS&&ĐL', '7.5']]
003004,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '7'], ['LS&&ĐL', '8']]
003005,[['Ngữ văn', '5'], ['Toán', '7.5'], ['Tiếng Anh', '7.5'], ['KHTN', '6'], ['LS&&ĐL', '6.5']]
003006,[['Ngữ văn', '5.25'], ['Toán', '8.25'], ['Tiếng Anh', '6.88'], ['KHTN', '6.5'], ['LS&&ĐL', '6.6']]
003007,[['Ngữ văn', '3.5'], ['Toán', '4'], ['Tiếng Anh', '3.75'], ['KHTN', '2.75'], ['LS&&ĐL', '4.25']]
003008,[['Ngữ văn', '5.25'], ['Toán', '4.7'], ['Tiếng Anh', '6.88'], ['KHTN', '2.75'], ['LS&&ĐL', '4.25']]
003009,[['Ngữ văn', '7'], ['Toán', '5.85'], ['Tiếng Anh', '7.5'], ['KHTN', '5'], ['LS&&ĐL', '7.25']]
003010,[['Ngữ văn', '3.25'], ['Toán', '4.5'], ['Tiếng Anh', '2.81'], ['KHTN', '2.85'], ['LS&&ĐL', '3.1']]
003011,[['Ngữ văn', '4.5'], ['Toán', '4.75'], ['Tiếng Anh', '8.75'], ['KHTN', '4.1'], ['LS&&ĐL', '6.35']]
003012,[['Ngữ văn', '3.5'], ['Toán', '7.25'], ['Tiếng Anh', '6.56'], ['KHTN', '3.25'], ['LS&&ĐL', '3.85']]
003013,[['Ngữ văn', '3.5'], ['Toán', '9.25'], ['Tiếng Anh', '5.94'], ['KHTN', '4.35'], ['LS&&ĐL', '4.5']]
003014,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '4.25'], ['LS&&ĐL', '5.25']]
003015,[['Ngữ văn', '3'], ['Toán', '8.5'], ['Tiếng Anh', '5'], ['KHTN', '4.25'], ['LS&&ĐL', '5.25']]
003016,[['Ngữ văn', '6'], ['Toán', '7.75'], ['Tiếng Anh', '6.56'], ['KHTN', '3.75'], ['LS&&ĐL', '5.25']]
003017,[['Ngữ văn', '3.75'], ['Toán', '6.6'], ['Tiếng Anh', '5.94'], ['KHTN', '3.75'], ['LS&&ĐL', '1.85']]
003018,[['Ngữ văn', '5.75'], ['Toán', '10'], ['Tiếng Anh', '7.19'], ['KHTN', '5.75'], ['LS&&ĐL', '3.25']]
003019,[['Ngữ văn', '4.5'], ['Toán', '7.85'], ['Tiếng Anh', '8.13'], ['KHTN', '5.25'], ['LS&&ĐL', '5.5']]
003020,[['Ngữ văn', '5'], ['Toán', '9'], ['Tiếng Anh', '7.19'], ['KHTN', '4.75'], ['LS&&ĐL', '4']]
003021,[['Ngữ văn', '5.75'], ['Toán', '7.35'], ['Tiếng Anh', '6.88'], ['KHTN', '6'], ['LS&&ĐL', '4']]
003022,[['Ngữ văn', '1.5'], ['Toán', '8.5'], ['Tiếng Anh', '8.75'], ['KHTN', '5.75'], ['LS&&ĐL', '3.85']]
003023,[['Ngữ văn', '6.5'], ['Toán', '8.5'], ['Tiếng Anh', '6.88'], ['KHTN', '5.75'], ['LS&&ĐL', '3.85']]
003024,[['Ngữ văn', '7.5'], ['Toán', '8.75'], ['Tiếng Anh', '7.19'], ['KHTN', '6.75'], ['LS&&ĐL', '6']]
003025,[['Ngữ văn', '5.75'], ['Toán', '9'], ['Tiếng Anh', '7.5'], ['KHTN', '8.5'], ['LS&&ĐL', '6.35']]
003026,[['Ngữ văn', '5.5'], ['Toán', '9.25'], ['Tiếng Anh', '7.81'], ['KHTN', '7.5'], ['LS&&ĐL', '6.35']]
003027,[['Ngữ văn', '3.75'], ['Toán', '7.75'], ['Tiếng Anh', '5'], ['KHTN', '7.25'], ['LS&&ĐL', '6.2']]
003028,[['Ngữ văn', '3.75'], ['Toán', '7.5'], ['Tiếng Anh', '4.06'], ['KHTN', '7'], ['LS&&ĐL', '5.35']]
003029,[['Ngữ văn', '6'], ['Toán', '9.75'], ['Tiếng Anh', '7.19'], ['KHTN', '9'], ['LS&&ĐL', '6.25']]
003030,[['Ngữ văn', '6.75'], ['Toán', '9.5'], ['Tiếng Anh', '6.56'], ['KHTN', '7.25'], ['LS&&ĐL', '6.5']]
003031,[['Ngữ văn', '6.5'], ['Toán', '5.1'], ['Tiếng Anh', '7.5'], ['KHTN', '7.75'], ['LS&&ĐL', '7']]
003032,[['Ngữ văn', '7.5'], ['Toán', '9.5'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '6.75']]
003033,[['Ngữ văn', '6.25'], ['Toán', '6.45'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '6.25']]
003034,[['Ngữ văn', '5.5'], ['Toán', '6'], ['Tiếng Anh', '5.31'], ['KHTN', '7'], ['LS&&ĐL', '7']]
003035,[['Ngữ văn', '4.5'], ['Toán', '6.5'], ['Tiếng Anh', '6.88'], ['KHTN', '6.6'], ['LS&&ĐL', '6']]
003036,[['Ngữ văn', '5'], ['Toán', '6'], ['Tiếng Anh', '5.63'], ['KHTN', '6'], ['LS&&ĐL', '4.25']]
003037,[['Ngữ văn', '4.5'], ['Toán', '8.5'], ['Tiếng Anh', '6.88'], ['KHTN', '4.5'], ['LS&&ĐL', '7.25']]
003038,[['Ngữ văn', '7.75'], ['Toán', '8.5'], ['Tiếng Anh', '7.19'], ['KHTN', '5'], ['LS&&ĐL', '7.5']]
003039,[['Ngữ văn', '5.75'], ['Toán', '8.75'], ['Tiếng Anh', '7.81'], ['KHTN', '7.5'], ['LS&&ĐL', '7']]
003040,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '6.75']]
003041,[['Ngữ văn', '7'], ['Toán', '9.25'], ['Tiếng Anh', '8.13'], ['KHTN', '7.5'], ['LS&&ĐL', '8']]
003042,[['Ngữ văn', '5.75'], ['Toán', '4.85'], ['Tiếng Anh', '7.19'], ['KHTN', '4.25'], ['LS&&ĐL', '6']]
003043,[['Ngữ văn', '6.75'], ['Toán', '9.25'], ['Tiếng Anh', '6.56'], ['KHTN', '5.1'], ['LS&&ĐL', '7.25']]
